Label,Type,Value,Unit
Simuliidae,Perimeter,2.11,mm
Chironomidae,Perimeter,4.9,mm
chironomidae,Perimeter,2.96,mm
chironomidae,Perimeter,3.21,mm
chironomidae,Perimeter,4.85,mm
chironomidae,Perimeter,4.87,mm
chironomidae,Perimeter,1.55,mm
chironomidae,Perimeter,2.24,mm
chironomidae,Perimeter,2.46,mm
chironomidae,Perimeter,2.57,mm
chironomidae,Perimeter,2.51,mm
chironomidae,Perimeter,1.43,mm
chironomidae,Perimeter,2.23,mm
chironomidae,Perimeter,2.72,mm
chironomidae,Perimeter,2.5,mm
chironomidae,Perimeter,2.82,mm
chironomidae,Perimeter,8.16,mm
chironomidae,Perimeter,3.17,mm
chironomidae,Perimeter,3.61,mm
chironomidae,Perimeter,7.89,mm
chironomidae,Perimeter,4.12,mm
chironomidae,Perimeter,8.38,mm
