Label,Type,Value,Unit
rhyacophilidae,Perimeter,13.52,mm
rhyacophilidae,Perimeter,13.09,mm
rhyacophilidae,Perimeter,11.55,mm
rhyacophilidae,Perimeter,12.62,mm
