Label,Type,Value,Unit
Zapada,Perimeter,4,mm
Zapada,Perimeter,1,mm
Zapada,Perimeter,2,mm
Zapada,Perimeter,5,mm
Zapada,Perimeter,5,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,5,mm
Zapada,Perimeter,5,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,2,mm
Zapada,Perimeter,2,mm
Zapada,Perimeter,3,mm
Zapada,Perimeter,3,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,6,mm
Zapada,Perimeter,3,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,5,mm
Lednia,Perimeter,6,mm
Lednia,Perimeter,6,mm
Lednia,Perimeter,7,mm
