Label,Type,Value,Unit
chironomidae,Perimeter,2.15,mm
simuliidae,Perimeter,2.69,mm
simuliidae,Perimeter,4.07,mm
simuliidae,Perimeter,4.71,mm
simuliidae,Perimeter,4.19,mm
planaria,Perimeter,2.31,mm
simuliidae,Perimeter,4.96,mm
simuliidae,Perimeter,3.62,mm
simuliidae,Perimeter,4.51,mm
simuliidae,Perimeter,4.57,mm
simuliidae,Perimeter,3.69,mm
simuliidae,Perimeter,3.76,mm
simuliidae,Perimeter,3.42,mm
simuliidae,Perimeter,4.17,mm
simuliidae,Perimeter,3.08,mm
simuliidae,Perimeter,5.34,mm
simuliidae,Perimeter,4,mm
