Label,Type,Value,Unit
Zapada,Perimeter,5,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,6,mm
Zapada,Perimeter,4,mm
Zapada,Perimeter,5,mm
Zapada,Perimeter,4,mm
Lednia,Perimeter,5,mm
